nivel1,nivel2,nivel3,nivel4,monto
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,30182042160
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,DIETAS,3247359480
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,2531966928
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,2996780714
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,120 REMUNERACIONES TEMPORALES,REMUNERACION EXTRAORD.,595149323
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,SUBSIDIO FAMILIAR,941650440
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,BONIFICACIONES Y GRATIF.,7917409096
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,5266113523
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,144083329
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,15866208063
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,1174499954
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,5283989469
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,190 OTROS GASTOS DE PERSONAL,SUBSIDIO PARA LA SALUD,1397370240
JUNTA MUNICIPAL,100 SERVICIOS PERSONALES,190 OTROS GASTOS DE PERSONAL,OTROS GASTOS DE PERSONAL,3029301845
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,80990000
JUNTA MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,802540000
