anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_barrio_localidad,nombre_barrio_localidad,codigo_zona,nombre_zona,codigo_establecimiento,codigo_institucion,nombre_institucion,sector_o_tipo_gestion,codigo_region_administrativa,nombre_region_administrativa,nombre_supervisor,niveles_modalidades,codigo_tipo_organizacion,nombre_tipo_organizacion,participacion_comunitaria,direccion,nro_telefono,tiene_internet,paginaweb,correo_electronico,anho_cod_geo,uri_establecimiento,uri_institucion
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704160,SIERRA LEON,6,RURAL,1703003,6078,2261 COLONIA SIERRA LEON,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EEB,2,ESCUELA ASOCIADA,SI,COLONIA SIERRA LEON, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1703003,http://datos.mec.gov.py/id/instituciones/6078
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704180,ZONA BAHIA NEGRA POTY,6,RURAL,1701007,3108,2483,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,NO,PTO ESPERANZA,0983304107,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701007,http://datos.mec.gov.py/id/instituciones/3108
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704001,CENTRAL,1,URBANA,1701005,2352,TENIENTE 1º ADOLFO ROJAS SILVA,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EEB,EM",3,ESCUELA INDEPENDIENTE,SI,AVDA. J.J.SANCHEZ,0981954015,SI, ,maximo_1970@yahoo.com.ar,2012,http://datos.mec.gov.py/id/establecimientos/1701005,http://datos.mec.gov.py/id/instituciones/2352
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704180,ZONA BAHIA NEGRA POTY,6,RURAL,1701006,3120,5825 (11770),OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,NO,PUERTO DIANA,0982929781, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701006,http://datos.mec.gov.py/id/instituciones/3120
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704001,CENTRAL,1,URBANA,1701005,3265,419 TTE. 1RO. ROJAS SILVA,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",1,ESCUELA CENTRO,NO,AVDA. J.J.SANCHEZ,0497281193,NO, , ,2012,http://datos.mec.gov.py/id/establecimientos/1701005,http://datos.mec.gov.py/id/instituciones/3265
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704180,ZONA BAHIA NEGRA POTY,6,RURAL,1701014,2604,14500,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,"EI,EEB",2,ESCUELA ASOCIADA,NO,S/D COMUNIDAD IND. KARCHA BAHLUT,0985817243, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701014,http://datos.mec.gov.py/id/instituciones/2604
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704180,ZONA BAHIA NEGRA POTY,6,RURAL,1701016,11194,563 MONTESSORI DEL SOL,PRIVADA,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EI,2,ESCUELA ASOCIADA,NO,S/D, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701016,http://datos.mec.gov.py/id/instituciones/11194
2012,17,ALTO PARAGUAY,1704,BAHIA NEGRA,1704180,ZONA BAHIA NEGRA POTY,6,RURAL,1701007,16272,17-22,OFICIAL,17C1R1,ALTO PARAGUAY - REGION 1 - COORDINACION 1,BLANCA LIZ BENITEZ MARTI,EBBJA,0, , ,PTO ESPERANZA, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1701007,http://datos.mec.gov.py/id/instituciones/16272
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705180,COM INDIG CUCAANI,6,RURAL,1702018,6261,6253 CHAMAQUEI CHIQUENO - LOCAL. ISLA AL,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,"EI,EEB",1,ESCUELA CENTRO,NO,ISLA ALTA,0981393045, , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702018,http://datos.mec.gov.py/id/instituciones/6261
2012,17,ALTO PARAGUAY,1705,CARMELO PERALTA,1705200,ISLA MARGARITA,6,RURAL,1702021,12063,17-19,OFICIAL,17C1R2,ALTO PARAGUAY - REGION 2,ELSA MARIA CANTERO MARTINEZ,EBBJA,0, , ,FRENTE A LA FM RADIO ALTO PARAGUAY, , , , ,2012,http://datos.mec.gov.py/id/establecimientos/1702021,http://datos.mec.gov.py/id/instituciones/12063
